date,yield_10y,stage1_pred__liquidity__dr001__t+20,stage1_pred__liquidity__dr007__t+20,stage1_pred__liquidity__r001__t+20,stage1_pred__liquidity__r007__t+20,stage1_pred__liquidity__fr007__t+20,stage1_pred__liquidity__gc001__t+20,stage1_pred__liquidity__gc007__t+20,stage1_pred__liquidity__spread_r007_dr007__t+20,stage1_pred__liquidity__spread_gc007_r007__t+20,stage1_pred__liquidity__spread_fr007_r007__t+20,stage1_pred__demand__银行__t+20,stage1_pred__demand__基金__t+20,stage1_pred__demand__保险__t+20,stage1_pred__demand__券商__t+20,stage1_pred__demand__理财子__t+20,stage1_pred__demand__其他__t+20,omo_net,omo_inject,omo_withdraw,lpr_1y,lpr_5y,feat__yield_10y__lag1,feat__yield_10y__lag5,label__yield_10y__t+20
2020-11-16,3.2741,1.6536685,2.0918205,1.7275412,2.4084604,2.266972,4.16526,3.6764033,0.28299484,1.1308424,-0.16361766,-0.038426865,-0.092006214,0.14688197,-0.684284,0.007055518,0.23158702,-500.0,1000.0,1500.0,3.85,4.65,3.2715,3.2363,3.2851
2020-11-17,3.2866,1.3028308,1.9914538,1.451501,2.4315896,2.206396,3.8672326,3.4392972,0.40675506,0.97934395,-0.15280318,0.59146583,-0.2970107,0.10066913,-0.48936477,0.08402749,0.28061026,-500.0,700.0,1200.0,3.85,4.65,3.2741,3.2241,3.2777
2020-11-18,3.324,1.0758934,1.7242405,1.1960739,2.3410912,2.118299,3.2421443,3.1515887,0.6404221,0.81256217,-0.21215887,0.8087294,-1.148683,0.042759296,0.5379155,-0.07295543,-0.13649563,-800.0,800.0,1600.0,3.85,4.65,3.2866,3.2391,3.2752
2020-11-19,3.3487,1.3904117,1.9125522,1.4573096,2.1381931,2.031159,2.5465472,2.590862,0.23213147,0.44610536,-0.11859073,1.527368,-1.2564791,0.39322805,0.20049775,-0.040713187,-0.16096155,400.0,400.0,0.0,3.85,4.65,3.324,3.2614,3.2802
2020-11-20,3.31,1.6185519,2.095285,1.6480772,2.1281214,2.1736333,2.285174,2.5357413,0.03946657,0.45006108,0.027350336,-2.439137,0.49134818,-0.1336523,0.52319276,-0.055686057,0.70894176,200.0,700.0,500.0,3.85,4.65,3.3487,3.2715,3.2902
2020-11-23,3.265,1.3792349,1.9541436,1.4595387,2.2561946,2.0924711,2.13316,2.473644,0.25681472,0.32096764,-0.09018601,0.82179445,-1.6114708,0.12462288,-0.099344164,0.08490879,0.09645386,200.0,1200.0,1000.0,3.85,4.65,3.31,3.2741,3.2652
2020-11-24,3.29,1.0991501,1.8941946,1.1548609,2.1802547,2.06596,2.1525064,2.39606,0.29811427,0.15584324,-0.11533313,0.35856584,-0.30415222,0.099521965,0.081685826,0.08552489,0.16683367,100.0,800.0,700.0,3.85,4.65,3.265,3.2866,3.2278
2020-11-25,3.2675,0.6351349,1.6920453,0.7542997,2.270439,2.0381837,2.2534099,2.5488367,0.54168636,0.31549355,-0.19839033,0.44778338,-1.1970302,0.160444,0.10839697,0.032033768,-0.3106466,400.0,1250.0,850.0,3.85,4.65,3.29,3.324,3.2153
2020-11-26,3.285,0.59835786,1.4661474,0.7054195,2.0550861,1.7408123,2.5500011,2.6901739,0.5397645,0.6557559,-0.3341371,1.4394635,-1.7173114,-0.022155281,-0.40006033,0.0041098753,-0.37977993,1100.0,1500.0,400.0,3.85,4.65,3.2675,3.3487,3.2303
2020-11-27,3.3,0.73597854,2.1506474,0.84448636,1.9528083,2.1995509,2.6806335,2.7868152,-0.20909736,0.77609825,0.29314432,-0.08123496,0.557704,0.021213848,-0.41915306,0.016298179,0.16399336,-500.0,200.0,700.0,3.85,4.65,3.285,3.31,3.1878
